1	0	1	NUM	number		1	ROOT	0
1	1	.	PUNCT	punc		.	punct	0
1	2	Iam	ADV	adverb		iam	advmod:tmod	4
1	3	quidem	PART	particle		quidem	discourse	4
1	4	suggesseram	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Pqp|VerbForm=Fin|Voice=Act	suggero	advcl	14
1	5	sanctitati	NOUN	noun	Case=Dat|Gender=Fem|Number=Sing	sanctitas	obl:arg	4
1	6	tuae	DET	adjective	Case=Dat|Gender=Fem|Number=Sing	tuus	det	5
1	7	,	PUNCT	punc		,	punct	11
1	8	sed	CCONJ	conjunction		sed	cc	11
1	9	commonitorium	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	commonitorium	nmod	11
1	10	suggestae	VERB	verb	Case=Gen|Gender=Fem|Number=Sing|VerbForm=Part|Voice=Pass	suggisio	acl	11
1	11	rei	NOUN	noun	Case=Gen|Gender=Fem|Number=Sing	res	conj	4
1	12	tunc	ADV	adverb		tunc	advmod:tmod	13
1	13	offerre	VERB	verb	Tense=Pres|VerbForm=Inf|Voice=Act	offero	xcomp	14
1	14	meditabar	VERB	verb	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin|Voice=Pass	meditor	ROOT	14
1	15	,	PUNCT	punc		,	punct	25
1	16	cum	SCONJ	conjunction		cum	mark	25
1	17	te	PRON	pronoun	Case=Acc|Number=Sing|Person=2	tu	nsubj	23
1	18	expeditum	VERB	adjective	Case=Acc|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	expedio	acl	23
1	19	animo	NOUN	noun	Case=Abl|Gender=Masc|Number=Sing	animus	xcomp	18
1	20	ab	ADP	preposition		ab	case	23
1	21	aliis	DET	adjective	Case=Abl|Gender=Fem|Number=Plur	alius	det	23
1	22	dictandi	VERB	verb	Case=Gen|Gender=Neut|Mood=Ger|Number=Sing|Tense=Fut|VerbForm=Part|Voice=Pass	dicto	acl	23
1	23	necessitatibus	NOUN	noun	Case=Abl|Gender=Fem|Number=Plur	necessitas	ccomp	25
1	24	esse	AUX	verb	Tense=Pres|VerbForm=Inf	sum	cop	23
1	25	sensissem	VERB	verb	Mood=Sub|Number=Sing|Person=1|Tense=Pqp|VerbForm=Fin|Voice=Act	sentio	advcl	14
1	26	.	PUNCT	punc		.	punct	14
1	27	Sed	CCONJ	conjunction		sed	cc	60
1	28	quoniam	SCONJ	conjunction		quoniam	mark	58
1	29	domini	NOUN	noun	Case=Nom|Gender=Masc|Number=Plur	dominus	nsubj	58
1	30	mei	DET	adjective	Case=Gen|Gender=Masc|Number=Sing	meus	det	29
1	31	,	PUNCT	punc		,	punct	32
1	32	filii	NOUN	noun	Case=Nom|Gender=Masc|Number=Plur	filius	appos	29
1	33	tui	DET	adjective	Case=Nom|Gender=Masc|Number=Plur	tu	det	32
1	34	,	PUNCT	punc		,	punct	35
1	35	Eutropius	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Eutropius	conj	29
1	36	et	CCONJ	conjunction		et	cc	37
1	37	Paulus	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	Paulus	conj	35
1	38	episcopi	NOUN	noun	Case=Nom|Gender=Masc|Number=Plur	episcopus	appos	35
1	39	eadem	DET	adjective	Case=Abl|Gender=Fem|Number=Sing	idem	obj	58
1	40	qua	PRON	pronoun	Case=Abl|Gender=Fem|Number=Sing	qui	obl	51
1	41	et	ADV	adverb		et	advmod:emph	42
1	42	ego	PRON	pronoun	Case=Nom|Number=Sing|Person=1	ego	nsubj	51
